iter	Logloss
0	0.691627837
1	0.6895475443
2	0.6878224947
3	0.6859814757
4	0.6844351647
5	0.6824759087
6	0.680915623
7	0.6794890134
8	0.6783603948
9	0.6768251489
10	0.6756063877
11	0.6733680233
12	0.6718977677
13	0.670193544
14	0.6682109775
15	0.6660070088
16	0.6643327995
17	0.6631824203
18	0.6614866861
19	0.6604389172
20	0.6585632934
21	0.6573574597
22	0.655324449
23	0.6545766935
24	0.6530855123
25	0.6519488846
26	0.650635997
27	0.6493831485
28	0.6473784461
29	0.6458966614
30	0.644169004
31	0.6421484219
32	0.6404567709
33	0.639455247
34	0.6378468954
35	0.6362565299
36	0.6342052541
37	0.6329503599
38	0.631740273
39	0.6308346261
40	0.62965892
41	0.6286091024
42	0.627119004
43	0.6254885291
44	0.6241708526
45	0.62287633
46	0.6214779838
47	0.6209396067
48	0.6196651903
49	0.6184604665
50	0.6173788044
51	0.6158485644
52	0.6146060328
53	0.6136512004
54	0.6126236717
55	0.6113033536
56	0.6104021228
57	0.6093438201
58	0.6075024789
59	0.6059705166
60	0.6047497023
61	0.603382287
62	0.6022492964
63	0.6009255477
64	0.5995133841
65	0.5981780433
66	0.5969159674
67	0.5959505585
68	0.5949836132
69	0.5935255658
70	0.5924713068
71	0.5915513928
72	0.5903870615
73	0.5883652994
74	0.5871119357
75	0.5854044926
76	0.5834620018
77	0.5821894729
78	0.5813359911
79	0.5801995103
80	0.5792615797
81	0.5784249079
82	0.5773054201
83	0.5764569304
84	0.5751317654
85	0.5734465926
86	0.5720727292
87	0.5709571644
88	0.5699060753
89	0.5692915084
90	0.5681429051
91	0.5669142031
92	0.5660873458
93	0.5646938639
94	0.5634967652
95	0.5622969582
96	0.5615038479
97	0.5600184283
98	0.5591481371
99	0.5581437425
100	0.5567570329
101	0.5559273532
102	0.5550737428
103	0.5540428294
104	0.5531652494
105	0.5521073606
106	0.5512783811
107	0.5503121671
108	0.5495355858
109	0.5487658656
110	0.54791361
111	0.546580992
112	0.5449099503
113	0.5438674461
114	0.543033702
115	0.5415955526
116	0.5409571207
117	0.5401275858
118	0.5389801491
119	0.5378298646
120	0.5366758345
121	0.5356915489
122	0.5348192368
123	0.5336956618
124	0.532840971
125	0.5315195568
126	0.5305063034
127	0.5297721293
128	0.528731823
129	0.5277014848
130	0.5269353749
131	0.5260635501
132	0.5242233712
133	0.523464851
134	0.5227245783
135	0.5215573491
136	0.5201438514
137	0.5193565166
138	0.5186066873
139	0.5176877881
140	0.516949278
141	0.5152769325
142	0.5139133864
143	0.5127326638
144	0.5118597273
145	0.5107751612
146	0.5096967741
147	0.5087725246
148	0.5078962663
149	0.5070364996
150	0.5064151183
151	0.5053463985
152	0.5041206015
153	0.5029984656
154	0.5022391298
155	0.5016771905
156	0.5003024188
157	0.4994776892
158	0.4982657981
159	0.4973170123
160	0.4968242484
161	0.495465694
162	0.4945202574
163	0.4933090768
164	0.4921698267
165	0.4914331171
166	0.4903841794
167	0.4897971711
168	0.4885204065
169	0.4876432267
170	0.4868381165
171	0.4856513076
172	0.4850597117
173	0.4836249966
174	0.4824221617
175	0.4812178063
176	0.4803879479
177	0.4794085452
178	0.4785889245
179	0.4776388369
180	0.4769970339
181	0.4759611951
182	0.4752133139
183	0.4744537955
184	0.4738203694
185	0.4730896921
186	0.4718507982
187	0.4710722944
188	0.4694682152
189	0.4686643718
190	0.4678488166
191	0.4670079275
192	0.4659784559
193	0.464924274
194	0.4643069175
195	0.4637933052
196	0.462855059
197	0.4620726042
198	0.4613010694
199	0.4600564175
200	0.4594203376
201	0.458718473
202	0.4579367978
203	0.4568252516
204	0.4562808985
205	0.4548377158
206	0.4537563835
207	0.453379298
208	0.4525682245
209	0.4520132315
210	0.4510076888
211	0.4500904897
212	0.4494451322
213	0.4488569498
214	0.4480566004
215	0.4467908731
216	0.4459402187
217	0.4453739254
218	0.4447299545
219	0.4439558595
220	0.4432809883
221	0.4426993993
222	0.4417856482
223	0.4410245854
224	0.4401929572
225	0.4394449218
226	0.4384813309
227	0.4377365552
228	0.4372740435
229	0.4363542426
230	0.435505745
231	0.4344071907
232	0.4333679676
233	0.4321057011
234	0.4314462363
235	0.430468765
236	0.4296277246
237	0.4288251996
238	0.4276656759
239	0.4270432639
240	0.4263301236
241	0.4255947778
242	0.4246160043
243	0.4239590859
244	0.4234248234
245	0.4228685285
246	0.4219665414
247	0.4211609411
248	0.4205169559
249	0.4199600541
250	0.4193320568
251	0.4186379124
252	0.4181527864
253	0.4175842267
254	0.4169041827
255	0.4161437234
256	0.4155504391
257	0.4147685544
258	0.4143071298
259	0.4136161993
260	0.4128773596
261	0.4121579939
262	0.4115400693
263	0.4109736482
264	0.410495531
265	0.409892604
266	0.4092554459
267	0.4084609402
268	0.4074981302
269	0.4067215498
270	0.4058027414
271	0.4052061453
272	0.4045046809
273	0.4038621097
274	0.4032522208
275	0.4027065956
276	0.4020313829
277	0.4013649457
278	0.4010135938
279	0.4005516195
280	0.399880168
281	0.3991669639
282	0.3984119585
283	0.3978698173
284	0.3969541457
285	0.3962822372
286	0.3954832265
287	0.3947259968
288	0.3939382727
289	0.3932481309
290	0.3923576616
291	0.3914072093
292	0.3907120715
293	0.3897693867
294	0.3891782321
295	0.3887813347
296	0.388334262
297	0.3876165965
298	0.3873584247
299	0.3865008364
300	0.3860231988
301	0.3853779236
302	0.3847935805
303	0.3841225164
304	0.3830164553
305	0.3822753817
306	0.3818289008
307	0.3813130534
308	0.3807063216
309	0.3803225718
310	0.37969114
311	0.3788144588
312	0.3778845474
313	0.3772494959
314	0.376448732
315	0.3757735869
316	0.375376655
317	0.3750581458
318	0.3743881758
319	0.3737353446
320	0.3733135514
321	0.3729399305
322	0.3725348011
323	0.3720595321
324	0.3710782178
325	0.3705215814
326	0.3700740025
327	0.3691476725
328	0.3685504018
329	0.3679895533
330	0.3674583899
331	0.3663886487
332	0.3656456243
333	0.3650866141
334	0.3642936084
335	0.3637885016
336	0.3631137368
337	0.362620726
338	0.3618524216
339	0.3610048734
340	0.360499567
341	0.3597616946
342	0.3590985357
343	0.358419082
344	0.3578117126
345	0.3575303564
346	0.3567496978
347	0.3564444331
348	0.3556048851
349	0.3551755022
350	0.3548478517
351	0.3543036443
352	0.3536735068
353	0.3532749405
354	0.3527043604
355	0.3520258178
356	0.3514989941
357	0.3509288667
358	0.3505165648
359	0.3502855159
360	0.3497764175
361	0.3493436897
362	0.3488774692
363	0.3484720384
364	0.3478468628
365	0.3474323887
366	0.3468627485
367	0.3461445783
368	0.345408231
369	0.344899732
370	0.3443220802
371	0.3436167926
372	0.3432375462
373	0.342314266
374	0.3417370386
375	0.3413078681
376	0.3407663821
377	0.3399468282
378	0.3394747864
379	0.3391836773
380	0.3386510265
381	0.3382638527
382	0.337609433
383	0.3372277783
384	0.3365226345
385	0.3359974192
386	0.3351941317
387	0.3347353202
388	0.3341825425
389	0.3336063595
390	0.3333362866
391	0.3328153619
392	0.3322814996
393	0.3317131599
394	0.3310652933
395	0.3303854877
396	0.3299292846
397	0.3296015613
398	0.3290764264
399	0.3287932149
400	0.3283406964
401	0.3279447844
402	0.3274554109
403	0.3265986887
404	0.3260740292
405	0.3257494526
406	0.3252257648
407	0.3245972508
408	0.3241826282
409	0.323431718
410	0.3229191422
411	0.3227089937
412	0.3221314133
413	0.3217812852
414	0.3213604646
415	0.3206819443
416	0.3202707365
417	0.319730999
418	0.3192559736
419	0.3189357855
420	0.3183271776
421	0.317910368
422	0.3176056833
423	0.317114761
424	0.3163463606
425	0.3158425712
426	0.3155676311
427	0.3151103868
428	0.3147234798
429	0.3141236797
430	0.3137885933
431	0.3134712747
432	0.313039501
433	0.3126763981
434	0.3122946615
435	0.3118183012
436	0.3114068896
437	0.3110143036
438	0.3105351353
439	0.3100209354
440	0.3096875936
441	0.3093896929
442	0.3090463096
443	0.3086418727
444	0.3079177572
445	0.3074066402
446	0.3069974444
447	0.3064371939
448	0.3059051888
449	0.3050617122
450	0.3044110816
451	0.3038796272
452	0.3031835551
453	0.3028118331
454	0.3022684053
455	0.3016940956
456	0.3011003595
457	0.3004341239
458	0.3000753631
459	0.2997551021
460	0.2994235565
461	0.2989984278
462	0.2988260526
463	0.2985709854
464	0.2980953923
465	0.2975407465
466	0.2972149281
467	0.2969715292
468	0.2964057364
469	0.2959261787
470	0.2953865661
471	0.2950285115
472	0.2945387737
473	0.2940087725
474	0.2937549206
475	0.2933516526
476	0.292669985
477	0.2921880777
478	0.2918338799
479	0.291116626
480	0.2907962052
481	0.2903533696
482	0.2899057515
483	0.2896411036
484	0.2893945461
485	0.2889916457
486	0.2888212195
487	0.2883629359
488	0.288115359
489	0.2875163087
490	0.2870798329
491	0.286771218
492	0.2864084793
493	0.2859211247
494	0.2854969705
495	0.2851371552
496	0.2847678226
497	0.2843562464
498	0.2838603116
499	0.2833530264
500	0.2829913899
501	0.2824326446
502	0.2820163312
503	0.2816626434
504	0.2814540409
505	0.2809261812
506	0.2806677847
507	0.2802742928
508	0.2796463853
509	0.279341535
510	0.2790122983
511	0.2786180547
512	0.2783630088
513	0.277998288
514	0.2776843612
515	0.2771816315
516	0.2766918914
517	0.2762326428
518	0.2756944247
519	0.2752500919
520	0.2747573919
521	0.2742962534
522	0.2740099184
523	0.2736078477
524	0.2730866141
525	0.2724430064
526	0.2720900268
527	0.2716208483
528	0.2713054859
529	0.2709104688
530	0.2704096574
531	0.2699015018
532	0.2696459397
533	0.2694010011
534	0.2691664743
535	0.2690053024
536	0.2686694236
537	0.2682241353
538	0.2678354534
539	0.2674183803
540	0.2670439434
541	0.2666271726
542	0.2662574412
543	0.2657302732
544	0.2653828107
545	0.2650578911
546	0.2647676808
547	0.2644229441
548	0.2639289267
549	0.2635139974
550	0.2631075382
551	0.2627968325
552	0.2625088971
553	0.2620948979
554	0.2618353315
555	0.2613009735
556	0.2606831605
557	0.2599956389
558	0.2596644433
559	0.2590870015
560	0.2587972004
561	0.2585862984
562	0.2582677702
563	0.2577975407
564	0.2574558745
565	0.2570778179
566	0.2565675941
567	0.2562235788
568	0.2558938757
569	0.2555665653
570	0.2552850388
571	0.255062529
572	0.2546519916
573	0.2541365888
574	0.2536863486
575	0.2533754839
576	0.2529893238
577	0.252598631
578	0.2522114421
579	0.2517429131
580	0.2514135743
581	0.2510866641
582	0.2507017359
583	0.250221014
584	0.2497401838
585	0.2495207848
586	0.2493271795
587	0.2491589595
588	0.2489391258
589	0.2485986816
590	0.2482493245
591	0.2478524617
592	0.2475185479
593	0.2472774642
594	0.2468736952
595	0.2464778343
596	0.2461366951
597	0.2459415595
598	0.2456148858
599	0.2452546481
600	0.244967455
601	0.2446089089
602	0.2442234565
603	0.2437683651
604	0.2434202835
605	0.2430511732
606	0.2427131226
607	0.2424554049
608	0.2421958253
609	0.2419593557
610	0.2416508368
611	0.241364638
612	0.2411034538
613	0.2406833564
614	0.2402696359
615	0.2399582768
616	0.2394971805
617	0.2393267032
618	0.2390745566
619	0.2385503825
620	0.2381923336
621	0.2378467643
622	0.2374976888
623	0.2373019902
624	0.2370208502
625	0.2368363941
626	0.2364682901
627	0.2362045589
628	0.2359260193
629	0.235604027
630	0.2352566676
631	0.2349943055
632	0.2345556413
633	0.2342547088
634	0.2338098534
635	0.2334242373
636	0.2331930905
637	0.2328590666
638	0.2326939484
639	0.2324536684
640	0.2319961905
641	0.2317449919
642	0.2314590069
643	0.2312600263
644	0.2309098617
645	0.2305463879
646	0.2302635066
647	0.2300272243
648	0.2297631687
649	0.2294212651
650	0.2289199001
651	0.2287487175
652	0.2285243117
653	0.2281019697
654	0.2279400125
655	0.2275428824
656	0.227367992
657	0.2270259914
658	0.2267432
659	0.2265168547
660	0.2262310632
661	0.2259670141
662	0.2256699819
663	0.2253398891
664	0.22500993
665	0.2248583663
666	0.2245176397
667	0.2243436565
668	0.2239860391
669	0.223701758
670	0.2234328243
671	0.2229928616
672	0.2227361344
673	0.2226039053
674	0.2224150631
675	0.2221110799
676	0.2217345753
677	0.2216124941
678	0.2212484252
679	0.2209740243
680	0.2208271836
681	0.2204810561
682	0.2201593064
683	0.2198906129
684	0.2196795576
685	0.2193766672
686	0.2190575813
687	0.2188226169
688	0.2186367904
689	0.2183659677
690	0.2179854569
691	0.2177437331
692	0.2175137897
693	0.2170593852
694	0.2167046155
695	0.2164618576
696	0.2161809849
697	0.215818144
698	0.215446194
699	0.2151561394
700	0.2150121459
701	0.2147083458
702	0.2145780609
703	0.2143421078
704	0.214050249
705	0.2137850007
706	0.2134272835
707	0.2131675136
708	0.2127838679
709	0.2125301583
710	0.2123681132
711	0.2121715314
712	0.2118452991
713	0.2115048979
714	0.2113168008
715	0.2110597756
716	0.2107927355
717	0.2104717157
718	0.2102156584
719	0.2099796079
720	0.2098432406
721	0.2095321668
722	0.2093436278
723	0.2091301211
724	0.2089246431
725	0.2086675181
726	0.2083809272
727	0.2082105144
728	0.2078109587
729	0.2075892252
730	0.2073557559
731	0.2071478923
732	0.2069620256
733	0.2066116316
734	0.2063363575
735	0.2061101406
736	0.2059771553
737	0.205834305
738	0.2055883157
739	0.2054845497
740	0.2051979263
741	0.2049379573
742	0.2046862635
743	0.2046001565
744	0.2043512835
745	0.2040872243
746	0.2039295054
747	0.2037272583
748	0.2035023967
749	0.2032081572
750	0.2029885002
751	0.2027006116
752	0.2025433779
753	0.2022273869
754	0.2020565108
755	0.201729365
756	0.201538291
757	0.2012569807
758	0.2009217562
759	0.2006993703
760	0.2005191273
761	0.200294804
762	0.1999525049
763	0.1997999483
764	0.199456446
765	0.1992331578
766	0.1989888149
767	0.1987482939
768	0.1984731676
769	0.1981637651
770	0.1980008483
771	0.1978783099
772	0.1975287752
773	0.1973528722
774	0.1971182655
775	0.1969991064
776	0.196844956
777	0.1966241669
778	0.1963366599
779	0.1961464768
780	0.1959574407
781	0.195787918
782	0.1955013453
783	0.1951500747
784	0.1949130907
785	0.1945727926
786	0.1943824033
787	0.194185064
788	0.1938512481
789	0.1936273551
790	0.193357334
791	0.1930937024
792	0.1928539297
793	0.1926853934
794	0.1923723599
795	0.1920862023
796	0.1918691141
797	0.191679709
798	0.1914236252
799	0.1911915143
800	0.1909285867
801	0.1906873302
802	0.1905300161
803	0.1902946272
804	0.1901157319
805	0.189882637
806	0.1897197886
807	0.1894105214
808	0.1892458865
809	0.1890297184
810	0.188924902
811	0.1886658974
812	0.1884572428
813	0.1883104555
814	0.1880757951
815	0.1877536268
816	0.1875842564
817	0.18739318
818	0.1872279973
819	0.1870368156
820	0.186765141
821	0.1865977692
822	0.1864004168
823	0.1862388055
824	0.1860407728
825	0.1858519141
826	0.1856282928
827	0.1854865255
828	0.1852949903
829	0.1850621405
830	0.1848650064
831	0.1845875356
832	0.1843491272
833	0.1842253128
834	0.1839581797
835	0.1837350764
836	0.1835534092
837	0.1834062364
838	0.1831774142
839	0.1828699121
840	0.1827376974
841	0.1826138423
842	0.1824926136
843	0.1822323917
844	0.1820445094
845	0.1818922926
846	0.181577046
847	0.1814342385
848	0.1811970354
849	0.1809080936
850	0.1807466977
851	0.1805221919
852	0.1803169007
853	0.1800793135
854	0.1799438951
855	0.1797918098
856	0.1796195162
857	0.1794560942
858	0.179282824
859	0.1791625458
860	0.1788868301
861	0.1787772805
862	0.1784947841
863	0.1783656322
864	0.1781501526
865	0.1778805767
866	0.1777214966
867	0.1774672632
868	0.1772518146
869	0.1770622934
870	0.1768982593
871	0.176598125
872	0.1764350706
873	0.1761091964
874	0.175896212
875	0.1757449323
876	0.1754094315
877	0.1752608745
878	0.1751498436
879	0.174885123
880	0.1747406768
881	0.1743787726
882	0.1741689373
883	0.1740093988
884	0.173801394
885	0.1736869001
886	0.1735470789
887	0.1732677947
888	0.1730921699
889	0.1728626719
890	0.1726947131
891	0.172557037
892	0.1723816946
893	0.1722271802
894	0.1720573793
895	0.1719499912
896	0.1716682521
897	0.1714495721
898	0.1712307322
899	0.1710475092
900	0.1707323049
901	0.1705050334
902	0.1702639711
903	0.169940457
904	0.1697232236
905	0.1695897804
906	0.16937691
907	0.1691966601
908	0.1690260219
909	0.1688730807
910	0.1685802445
911	0.1684572836
912	0.1683055576
913	0.1680946979
914	0.167806855
915	0.1675936778
916	0.1674922078
917	0.1673703792
918	0.1671722028
919	0.1668650418
920	0.1666944718
921	0.1664286897
922	0.1662309598
923	0.1659785377
924	0.165797095
925	0.1656937287
926	0.1653624321
927	0.1651615824
928	0.1650068613
929	0.1648101901
930	0.1646453733
931	0.1644891971
932	0.1642573334
933	0.1640800935
934	0.1638693154
935	0.1637293637
936	0.1634895939
937	0.1633648111
938	0.1632112016
939	0.1629680322
940	0.162844016
941	0.1626819358
942	0.1625445118
943	0.1622930723
944	0.1621340837
945	0.1620663281
946	0.1618969135
947	0.1617532838
948	0.1616158093
949	0.161434161
950	0.1612370773
951	0.1610380286
952	0.1608643125
953	0.1607313608
954	0.1605963996
955	0.1603840095
956	0.1602766528
957	0.1601084669
958	0.1598772196
959	0.159740689
960	0.1595863194
961	0.1594747239
962	0.1592122281
963	0.1591194996
964	0.1589013568
965	0.1586552435
966	0.1584635746
967	0.1582647108
968	0.1580907234
969	0.1579510118
970	0.1577987829
971	0.1576378615
972	0.1574637701
973	0.1572640895
974	0.1570403633
975	0.1567933978
976	0.1566239945
977	0.1564000098
978	0.1563011434
979	0.1560861166
980	0.1559682479
981	0.1558699608
982	0.155687769
983	0.1555287443
984	0.1552612919
985	0.155053274
986	0.1549693514
987	0.1548136681
988	0.1545695466
989	0.1542822823
990	0.1541849585
991	0.1539275438
992	0.153674384
993	0.1536039544
994	0.1534605414
995	0.1533408238
996	0.1532337893
997	0.1531075383
998	0.1528992459
999	0.1527693565
