iter	Passed	Remaining
0	6	6817
1	9	4576
2	10	3516
3	17	4457
4	23	4627
5	26	4446
6	28	4076
7	29	3669
8	34	3853
9	39	3944
10	42	3801
11	45	3776
12	49	3778
13	52	3690
14	53	3500
15	54	3345
16	60	3508
17	68	3722
18	71	3672
19	76	3759
20	77	3626
21	81	3623
22	84	3589
23	90	3668
24	94	3675
25	95	3570
26	97	3508
27	100	3480
28	101	3415
29	102	3328
30	103	3249
31	114	3456
32	119	3500
33	127	3609
34	128	3536
35	135	3640
36	141	3686
37	144	3651
38	147	3637
39	151	3631
40	157	3678
41	165	3774
42	166	3705
43	167	3637
44	168	3575
45	169	3515
46	170	3457
47	171	3399
48	196	3806
49	197	3752
50	198	3693
51	199	3636
52	200	3581
53	201	3530
54	219	3769
55	224	3784
56	229	3801
57	230	3747
58	232	3709
59	241	3786
60	249	3846
61	257	3895
62	263	3912
63	264	3862
64	271	3899
65	274	3889
66	279	3893
67	281	3864
68	282	3815
69	290	3857
70	291	3819
71	296	3820
72	303	3849
73	308	3864
74	309	3821
75	317	3854
76	318	3817
77	319	3777
78	325	3795
79	327	3763
80	328	3723
81	329	3683
82	330	3647
83	333	3640
84	334	3603
85	340	3617
86	342	3593
87	343	3558
88	350	3588
89	353	3573
90	365	3652
91	369	3648
92	370	3616
93	371	3583
94	373	3562
95	374	3529
96	375	3497
97	376	3466
98	392	3574
99	396	3567
100	397	3536
101	399	3518
102	403	3511
103	410	3539
104	411	3510
105	423	3573
106	432	3609
107	435	3594
108	436	3568
109	438	3551
110	442	3545
111	443	3519
112	445	3493
113	453	3528
114	456	3513
115	458	3495
116	460	3475
117	461	3448
118	464	3438
119	469	3441
120	474	3443
121	474	3418
122	488	3480
123	492	3481
124	495	3468
125	496	3444
126	497	3420
127	500	3407
128	503	3399
129	504	3376
130	510	3383
131	512	3367
132	514	3356
133	517	3341
134	518	3320
135	519	3298
136	520	3276
137	522	3262
138	537	3327
139	546	3357
140	550	3354
141	554	3348
142	555	3326
143	559	3328
144	561	3308
145	571	3345
146	577	3352
147	583	3360
148	585	3343
149	586	3324
150	587	3303
151	588	3281
152	609	3371
153	613	3371
154	615	3353
155	617	3340
156	619	3325
157	620	3306
158	632	3344
159	633	3325
160	634	3304
161	637	3297
162	638	3278
163	640	3265
164	641	3246
165	651	3275
166	653	3258
167	664	3288
168	665	3270
169	666	3251
170	666	3232
171	667	3214
172	669	3200
173	674	3202
174	679	3203
175	680	3186
176	681	3168
177	682	3151
178	683	3134
179	684	3117
180	685	3100
181	686	3083
182	687	3067
183	720	3195
184	723	3188
185	733	3208
186	734	3191
187	735	3174
188	741	3180
189	743	3170
190	747	3166
191	754	3177
192	759	3174
193	763	3170
194	771	3182
195	772	3166
196	773	3150
197	786	3187
198	791	3185
199	794	3176
200	797	3170
201	800	3162
202	801	3146
203	808	3155
204	813	3156
205	822	3171
206	833	3194
207	842	3207
208	845	3198
209	846	3185
210	847	3170
211	848	3155
212	868	3207
213	872	3205
214	873	3190
215	874	3174
216	875	3158
217	876	3143
218	879	3136
219	886	3141
220	891	3140
221	895	3138
222	900	3138
223	905	3138
224	906	3123
225	909	3114
226	910	3099
227	911	3085
228	922	3104
229	926	3100
230	931	3101
231	938	3106
232	946	3115
233	953	3122
234	961	3131
235	966	3128
236	970	3122
237	972	3112
238	973	3098
239	974	3084
240	975	3071
241	976	3057
242	979	3051
243	985	3054
244	986	3041
245	988	3031
246	989	3018
247	997	3025
248	998	3012
249	999	2998
250	1008	3009
251	1009	2996
252	1025	3026
253	1033	3035
254	1034	3022
255	1037	3014
256	1043	3016
257	1044	3004
258	1046	2993
259	1047	2980
260	1054	2984
261	1055	2972
262	1056	2960
263	1057	2947
264	1071	2972
265	1074	2965
266	1075	2953
267	1076	2941
268	1089	2961
269	1092	2954
270	1098	2954
271	1101	2946
272	1108	2950
273	1111	2944
274	1116	2944
275	1117	2932
276	1119	2921
277	1122	2915
278	1124	2907
279	1131	2910
280	1134	2903
281	1149	2926
282	1154	2924
283	1160	2925
284	1161	2914
285	1162	2902
286	1163	2890
287	1164	2879
288	1165	2867
289	1166	2856
290	1192	2904
291	1200	2910
292	1201	2898
293	1209	2903
294	1210	2892
295	1215	2891
296	1216	2880
297	1217	2868
298	1218	2857
299	1230	2871
300	1231	2860
301	1232	2849
302	1244	2863
303	1246	2852
304	1247	2841
305	1248	2830
306	1249	2819
307	1250	2808
308	1251	2797
309	1263	2811
310	1264	2801
311	1285	2833
312	1288	2828
313	1289	2818
314	1291	2807
315	1292	2797
316	1293	2786
317	1294	2775
318	1300	2776
319	1302	2767
320	1303	2757
321	1304	2746
322	1305	2736
323	1306	2726
324	1316	2733
325	1321	2731
326	1322	2721
327	1323	2711
328	1337	2727
329	1338	2718
330	1340	2708
331	1344	2705
332	1347	2698
333	1351	2694
334	1355	2690
335	1356	2680
336	1357	2670
337	1359	2663
338	1364	2659
339	1369	2658
340	1370	2648
341	1379	2654
342	1380	2644
343	1387	2645
344	1388	2635
345	1389	2626
346	1399	2633
347	1400	2623
348	1407	2624
349	1411	2621
350	1416	2618
351	1420	2615
352	1423	2608
353	1435	2619
354	1439	2615
355	1441	2607
356	1445	2602
357	1459	2617
358	1462	2611
359	1468	2610
360	1473	2608
361	1481	2610
362	1483	2603
363	1487	2599
364	1495	2602
365	1497	2594
366	1498	2585
367	1501	2579
368	1505	2573
369	1506	2564
370	1509	2558
371	1512	2553
372	1513	2544
373	1514	2534
374	1517	2529
375	1519	2521
376	1520	2512
377	1521	2503
378	1522	2494
379	1523	2485
380	1524	2476
381	1525	2467
382	1526	2458
383	1527	2449
384	1528	2442
385	1529	2433
386	1531	2425
387	1532	2416
388	1533	2408
389	1535	2401
390	1535	2392
391	1536	2383
392	1538	2377
393	1539	2368
394	1540	2359
395	1542	2352
396	1543	2344
397	1544	2336
398	1545	2327
399	1546	2320
400	1548	2313
401	1549	2304
402	1553	2300
403	1556	2296
404	1559	2291
405	1560	2283
406	1561	2275
407	1574	2284
408	1579	2281
409	1584	2279
410	1590	2279
411	1591	2271
412	1592	2263
413	1593	2255
414	1594	2247
415	1595	2239
416	1597	2233
417	1598	2226
418	1599	2218
419	1602	2213
420	1607	2211
421	1611	2206
422	1615	2203
423	1618	2199
424	1620	2191
425	1623	2187
426	1624	2180
427	1625	2172
428	1626	2165
429	1627	2157
430	1629	2151
431	1630	2143
432	1634	2139
433	1641	2140
434	1642	2133
435	1644	2127
436	1649	2124
437	1654	2122
438	1660	2121
439	1662	2116
440	1665	2111
441	1670	2108
442	1670	2100
443	1676	2099
444	1683	2099
445	1690	2100
446	1691	2093
447	1702	2097
448	1704	2091
449	1705	2084
450	1707	2078
451	1710	2073
452	1711	2066
453	1712	2059
454	1714	2053
455	1716	2047
456	1721	2045
457	1723	2040
458	1725	2033
459	1727	2028
460	1730	2022
461	1735	2020
462	1738	2016
463	1741	2012
464	1745	2008
465	1746	2001
466	1747	1994
467	1750	1989
468	1751	1983
469	1754	1978
470	1757	1973
471	1758	1966
472	1759	1959
473	1759	1953
474	1763	1949
475	1771	1949
476	1773	1945
477	1776	1939
478	1777	1933
479	1786	1935
480	1789	1930
481	1790	1923
482	1791	1917
483	1800	1919
484	1806	1917
485	1807	1911
486	1813	1910
487	1816	1905
488	1820	1902
489	1821	1896
490	1822	1889
491	1823	1882
492	1824	1876
493	1825	1869
494	1836	1873
495	1841	1871
496	1842	1864
497	1843	1858
498	1844	1852
499	1845	1845
500	1846	1839
501	1847	1832
502	1848	1826
503	1849	1820
504	1876	1839
505	1879	1835
506	1881	1829
507	1882	1822
508	1891	1824
509	1894	1820
510	1895	1814
511	1897	1808
512	1898	1802
513	1899	1795
514	1900	1789
515	1910	1791
516	1911	1785
517	1912	1779
518	1920	1779
519	1924	1776
520	1925	1769
521	1926	1763
522	1927	1757
523	1935	1758
524	1936	1752
525	1943	1751
526	1948	1749
527	1950	1743
528	1956	1741
529	1965	1742
530	1966	1736
531	1982	1743
532	1991	1745
533	1996	1742
534	1999	1737
535	2000	1731
536	2000	1725
537	2010	1726
538	2011	1720
539	2012	1714
540	2014	1709
541	2018	1706
542	2019	1700
543	2020	1694
544	2021	1687
545	2022	1681
546	2039	1688
547	2040	1682
548	2048	1683
549	2050	1677
550	2053	1673
551	2056	1668
552	2059	1665
553	2060	1659
554	2065	1655
555	2066	1650
556	2071	1647
557	2072	1642
558	2073	1636
559	2074	1630
560	2075	1624
561	2088	1627
562	2092	1624
563	2096	1620
564	2099	1616
565	2100	1610
566	2103	1606
567	2107	1603
568	2110	1598
569	2111	1593
570	2112	1587
571	2113	1581
572	2122	1581
573	2125	1577
574	2128	1573
575	2129	1567
576	2134	1564
577	2135	1559
578	2136	1553
579	2137	1547
580	2138	1542
581	2139	1536
582	2139	1530
583	2140	1524
584	2141	1519
585	2158	1525
586	2162	1521
587	2163	1516
588	2164	1510
589	2165	1504
590	2166	1499
591	2186	1506
592	2187	1501
593	2188	1495
594	2197	1495
595	2201	1492
596	2202	1486
597	2203	1481
598	2204	1475
599	2204	1469
600	2205	1464
601	2212	1462
602	2221	1462
603	2230	1462
604	2234	1458
605	2237	1454
606	2239	1450
607	2240	1444
608	2248	1443
609	2260	1444
610	2266	1442
611	2270	1439
612	2279	1439
613	2282	1434
614	2284	1429
615	2287	1425
616	2289	1420
617	2290	1415
618	2297	1413
619	2302	1411
620	2303	1405
621	2304	1400
622	2305	1394
623	2305	1389
624	2306	1384
625	2307	1378
626	2308	1373
627	2323	1376
628	2332	1375
629	2333	1370
630	2334	1365
631	2337	1360
632	2338	1355
633	2339	1350
634	2345	1348
635	2348	1343
636	2350	1339
637	2351	1334
638	2352	1329
639	2353	1323
640	2354	1318
641	2356	1313
642	2358	1309
643	2359	1304
644	2360	1299
645	2361	1294
646	2369	1292
647	2374	1289
648	2375	1284
649	2376	1279
650	2380	1276
651	2381	1271
652	2382	1266
653	2385	1261
654	2386	1256
655	2387	1251
656	2388	1246
657	2389	1242
658	2390	1237
659	2391	1232
660	2392	1227
661	2393	1222
662	2399	1219
663	2402	1215
664	2406	1212
665	2409	1208
666	2411	1203
667	2412	1199
668	2413	1194
669	2414	1189
670	2415	1184
671	2433	1187
672	2436	1184
673	2442	1181
674	2449	1179
675	2452	1175
676	2453	1170
677	2453	1165
678	2454	1160
679	2464	1159
680	2473	1158
681	2474	1153
682	2476	1149
683	2479	1145
684	2480	1140
685	2481	1135
686	2482	1130
687	2483	1126
688	2484	1121
689	2503	1124
690	2504	1120
691	2505	1115
692	2514	1113
693	2515	1109
694	2522	1106
695	2523	1102
696	2537	1102
697	2539	1098
