iter	Passed	Remaining
0	0	558
1	1	549
2	1	531
3	2	528
4	2	544
5	3	542
6	3	535
7	4	535
8	4	535
9	5	528
10	5	524
11	6	518
12	6	514
13	7	514
14	7	511
15	8	510
16	8	507
17	9	508
18	9	507
19	10	504
20	10	502
21	11	500
22	11	499
23	12	502
24	12	500
25	13	499
26	13	498
27	14	500
28	14	499
29	15	498
30	15	496
31	16	496
32	16	494
33	17	493
34	17	493
35	18	495
36	18	493
37	19	493
38	19	491
39	20	490
40	20	490
41	21	489
42	21	488
43	22	487
44	22	487
45	23	487
46	24	486
47	24	486
48	25	485
49	25	485
50	26	484
51	26	483
52	27	483
53	27	483
54	28	482
55	28	482
56	29	481
57	29	480
58	30	480
59	30	480
60	31	479
61	31	479
62	32	478
63	32	478
64	33	478
65	33	477
66	34	476
67	34	476
68	35	474
69	35	475
70	36	474
71	36	473
72	37	472
73	37	472
74	38	471
75	38	471
76	39	471
77	39	470
78	40	469
79	40	469
80	41	469
81	41	469
82	42	468
83	42	468
84	43	467
85	43	466
86	44	466
87	44	465
88	45	464
89	45	464
90	46	463
91	46	463
92	47	462
93	47	462
94	48	461
95	48	461
96	49	460
97	50	460
98	50	459
99	50	458
100	51	459
101	52	458
102	52	458
103	53	457
104	53	456
105	54	456
106	54	455
107	55	454
108	55	453
109	55	453
110	56	452
111	57	452
112	57	452
113	58	451
114	58	450
115	59	450
116	59	450
117	60	449
118	60	448
119	61	448
120	61	447
121	62	446
122	62	446
123	63	445
124	63	445
125	64	445
126	64	444
127	65	443
128	65	443
129	66	442
130	66	442
131	67	442
132	67	441
133	68	441
134	68	440
135	69	440
136	69	440
137	70	439
138	70	439
139	71	438
140	71	437
141	72	437
142	72	437
143	73	435
144	73	435
145	74	435
146	74	434
147	75	434
148	75	433
149	76	432
150	76	432
151	77	431
152	77	431
153	78	430
154	78	430
155	79	429
156	79	429
157	80	428
158	80	428
159	81	428
160	82	427
161	82	427
162	83	426
163	83	426
164	84	425
165	84	425
166	85	424
167	85	424
168	86	423
169	86	423
170	87	422
171	87	422
172	88	422
173	88	421
174	89	421
175	90	421
176	90	421
177	91	420
178	91	420
179	92	419
180	92	419
181	93	418
182	93	418
183	94	417
184	94	417
185	95	416
186	95	415
187	96	415
188	96	414
189	97	414
190	97	413
191	98	413
192	98	412
193	99	412
194	99	411
195	100	411
196	100	411
197	101	410
198	101	410
199	102	409
200	102	409
201	103	408
202	103	408
203	104	408
204	105	407
205	105	406
206	106	406
207	106	405
208	107	405
209	107	405
210	108	404
211	108	404
212	109	403
213	109	403
214	110	403
215	110	402
216	111	402
217	111	401
218	112	400
219	112	400
220	113	399
221	113	399
222	114	398
223	115	398
224	115	397
225	116	397
226	116	396
227	117	396
228	117	395
229	118	395
230	118	394
231	119	394
232	119	393
233	120	393
234	120	392
235	121	391
236	121	391
237	122	390
238	122	390
239	123	389
240	123	389
241	124	388
242	124	388
243	125	387
244	125	387
245	126	386
246	126	386
247	127	385
248	127	385
249	128	384
250	128	383
251	129	383
252	129	382
253	130	382
254	130	381
255	131	381
256	131	381
257	132	380
258	132	380
259	133	379
260	133	379
261	134	378
262	134	378
263	135	377
264	136	377
265	136	376
266	137	376
267	137	375
268	138	375
269	138	374
270	139	374
271	139	373
272	140	373
273	140	372
274	141	372
275	141	371
276	142	370
277	142	370
278	143	369
279	143	369
280	144	368
281	144	368
282	145	367
283	145	366
284	146	366
285	146	365
286	146	365
287	147	364
288	148	364
289	148	363
290	149	363
291	149	362
292	150	362
293	150	361
294	151	361
295	151	360
296	152	360
297	152	359
298	153	359
299	153	358
300	154	358
301	154	357
302	156	358
303	156	358
304	157	357
305	157	357
306	158	356
307	158	356
308	159	355
309	159	355
310	160	354
311	160	354
312	161	353
313	161	352
314	162	352
315	162	351
316	163	351
317	163	350
318	163	350
319	164	349
320	164	348
321	165	348
322	165	347
323	166	347
324	166	346
325	167	346
326	168	345
327	168	345
328	169	344
329	169	344
330	170	344
331	170	343
332	171	343
333	171	342
334	172	342
335	172	341
336	173	340
337	173	340
338	174	339
339	174	339
340	175	338
341	175	338
342	176	338
343	176	337
344	177	337
345	178	336
346	178	336
347	179	335
348	179	334
349	180	334
350	180	333
351	181	333
352	181	332
353	182	332
354	182	332
355	183	331
356	183	330
357	184	330
358	184	329
359	185	329
360	185	328
361	186	328
362	186	327
363	187	327
364	187	326
365	188	326
366	188	325
367	189	325
368	189	324
369	190	324
370	190	323
371	191	323
372	191	322
373	192	322
374	192	321
375	193	321
376	194	320
377	194	320
378	195	319
379	195	319
380	196	318
381	196	318
382	197	318
383	198	317
384	198	317
385	199	316
386	199	316
387	200	315
388	200	315
389	201	315
390	201	314
391	202	314
392	203	313
393	203	313
394	204	312
395	204	312
396	205	311
397	205	311
398	206	310
399	206	309
